name,born,city,zip_code,income,is_married,children,car
David,1953,Shanghai,35716,69693.04424435803,false,4,Bentley
Eva,1984,London,30931,30547.027838864135,true,1,Toyota
Alice,1979,San Francisco,85967,63489.88271194087,false,1,Mini
Bob,1969,San Francisco,64527,56030.692111789045,false,1,Toyota
David,1979,Munich,53316,51118.005552388975,true,3,Ford
Alice,1966,London,53416,35501.2782179683,false,0,Mini
Alice,1980,Mumbai,47579,51752.69508858849,false,0,BMW
Bob,1978,Mumbai,85248,58117.01346387579,true,2,Toyota
Eva,1969,San Francisco,52422,53877.70735114258,true,0,Mini
Eva,1986,Shanghai,14193,31034.003531376817,false,2,Toyota
Bob,1958,London,21988,36560.74587662842,false,2,Bentley
Charlie,1958,Mumbai,74702,55801.89776119679,false,4,Mini
Eva,1982,San Francisco,52725,43719.2639218854,false,1,Ford
Charlie,1972,Mumbai,44800,62991.592776643934,true,3,Ford
Eva,1960,London,85959,35180.970409291,false,4,BMW
David,1957,London,75765,61475.300775581214,true,1,Mini
Eva,1970,Shanghai,47416,35722.19858541657,false,3,Mini
Charlie,1987,Mumbai,79687,71369.4022228971,false,3,Ford
Eva,1955,London,89917,35042.381219906645,true,2,BMW
Charlie,1955,Munich,56001,60431.55991184684,false,0,Mini
Eva,1957,London,19259,56344.145304955426,true,1,BMW
Bob,1982,Munich,16793,47759.321611379266,true,1,BMW
Bob,1957,Munich,79113,59110.18764065242,false,0,BMW
Alice,1952,Shanghai,13133,51106.78340065909,false,1,BMW
Bob,1975,London,30814,39487.43381625804,false,3,Mini
Bob,1955,Mumbai,21828,58530.357469546114,false,0,BMW
Bob,1989,London,64975,52571.959803557555,true,3,Mini
Bob,1972,Shanghai,97431,76362.3586438524,false,2,Mini
Alice,1951,Munich,95604,68163.66057230314,true,0,BMW
Eva,1970,London,94011,43221.34471632997,false,0,Toyota
Bob,1979,San Francisco,12319,58191.93901275389,true,3,Ford
Alice,1987,Shanghai,52238,39306.7707145297,false,4,Bentley
Alice,1968,Munich,42345,47856.44838430024,true,3,Ford
David,1961,Shanghai,72947,47435.44535169735,true,3,Mini
Charlie,1971,San Francisco,54753,52895.37421570072,false,3,Bentley
Bob,1970,Munich,37252,45577.45093053881,false,3,Mini
Alice,1964,Mumbai,71536,33855.42744912457,false,2,Toyota
David,1952,London,47354,42424.55895865326,true,4,Ford
Bob,1977,San Francisco,16044,37182.90266018374,true,4,BMW
Bob,1962,London,58358,63540.383941308675,true,1,Bentley
David,1960,Shanghai,37469,46259.096714152925,false,2,BMW
Eva,1975,Mumbai,98405,46085.174982750636,false,1,Mini
Alice,1968,Mumbai,11852,65170.92144150258,false,2,Ford
Bob,1986,Munich,99779,66780.39455168523,false,1,Bentley
David,1988,Shanghai,62728,67304.56207471054,false,3,Ford
Eva,1963,Shanghai,51759,62112.73883456052,true,2,BMW
Charlie,1962,London,91229,65644.90805332603,false,4,Bentley
Eva,1975,San Francisco,48326,34503.348217889186,true,1,Toyota
Alice,1978,Shanghai,10705,41706.94931239794,true,3,Mini
David,1954,Shanghai,43974,29478.0252358779,false,0,BMW
Bob,1980,San Francisco,82890,51607.272061177435,false,1,BMW
Charlie,1986,Mumbai,93292,60841.96234738495,true,3,Toyota
Alice,1956,Munich,44641,55030.132165353665,true,1,Bentley
Eva,1983,Shanghai,26277,82257.2247869491,false,0,Mini
Bob,1961,San Francisco,32029,45867.98760168069,true,0,Bentley
Charlie,1961,Mumbai,80524,63907.14725447855,false,2,Ford
Charlie,1978,San Francisco,87207,48079.35806178911,true,2,BMW
Bob,1970,San Francisco,24712,48554.324815426975,false,3,BMW
Alice,1989,Shanghai,42862,42428.483764091245,false,1,BMW
Bob,1984,Shanghai,32008,57338.50632208372,true,1,Ford
David,1957,London,20939,46105.35781473642,true,1,Ford
Eva,1953,London,87069,44977.07114362101,false,1,Bentley
David,1953,San Francisco,99005,65016.70180075121,false,3,Ford
Bob,1964,Mumbai,91111,63255.87125165863,true,2,BMW
David,1967,San Francisco,11594,46907.192809451466,false,0,Ford
Alice,1966,London,23978,43482.75974015869,true,0,BMW
Alice,1972,Shanghai,24114,41895.05386025274,true,3,BMW
Charlie,1950,Mumbai,32266,25939.674110276108,false,4,Ford
Charlie,1976,Munich,10446,41869.20928629255,true,0,Bentley
Bob,1972,San Francisco,53079,41206.04984460729,true,0,Bentley
David,1983,Shanghai,57311,49142.62096280663,true,1,Bentley
Eva,1968,Shanghai,24433,56094.20197135133,false,1,Bentley
Charlie,1962,Mumbai,50827,41432.77455194684,false,1,Ford
Alice,1975,Mumbai,74900,43699.14587434664,true,4,BMW
Alice,1963,London,42542,44674.21771282049,false,0,Mini
Bob,1952,London,82121,42140.06551221504,false,1,Mini
Bob,1989,San Francisco,20486,46013.0908213054,false,0,Toyota
David,1956,Munich,22846,57598.12947161222,true,4,BMW
Alice,1972,Shanghai,42232,25633.07181402043,true,4,Bentley
Alice,1972,San Francisco,57382,48260.95124617379,false,4,Toyota
Eva,1970,London,38699,41163.90522151891,false,1,Toyota
Charlie,1972,Mumbai,82138,43687.67592873152,true,3,Ford
Eva,1961,Shanghai,93138,53694.83319927631,true,0,Ford
David,1979,London,14862,53839.592997592474,false,0,Toyota
David,1968,Mumbai,27314,41583.80986805854,false,3,Bentley
Alice,1972,Mumbai,57749,27216.362825984303,true,0,BMW
David,1969,Mumbai,20239,71807.01546297438,false,4,Ford
Eva,1970,San Francisco,25503,43650.28447658093,true,2,Toyota
David,1956,Mumbai,24126,39919.47746816442,true,3,Ford
Eva,1968,Shanghai,46835,34446.520578575306,true,1,Toyota
Eva,1961,San Francisco,59805,47364.877398903736,true,1,BMW
Eva,1955,San Francisco,46644,50576.65320931331,true,3,Toyota
Bob,1951,London,86487,55178.7685484329,true,0,Bentley
Alice,1968,Shanghai,92286,56599.75042788904,false,3,Ford
Eva,1954,Mumbai,15648,32138.447962524977,true,2,Ford
Charlie,1954,London,81703,35474.75114189355,true,0,Bentley
Alice,1969,Mumbai,44374,45956.69309753955,true,1,Mini
Charlie,1969,London,30798,56962.21592311652,true,3,Ford
Eva,1985,Mumbai,30981,38262.94305934213,false,3,Toyota
Bob,1962,San Francisco,38767,28651.834320905466,true,4,Bentley
Bob,1973,Shanghai,71812,44069.99811837052,true,4,Mini
Alice,1956,London,89504,44226.4582378881,true,2,Ford
Charlie,1959,London,97648,50007.37222223588,false,0,Ford
Eva,1953,Shanghai,20146,59798.87325919009,true,3,Ford
Eva,1986,Mumbai,63720,55084.171746673295,true,4,Bentley
Alice,1989,San Francisco,87532,53169.18137352186,false,4,Mini
Eva,1981,Mumbai,18115,51060.5304402755,true,4,Bentley
Bob,1980,Munich,40413,57438.04331499315,true,2,Ford
Eva,1973,Shanghai,42913,37543.63258391403,true,1,Bentley
Bob,1989,Shanghai,18693,50993.75313228385,false,0,Ford
Alice,1951,Munich,25803,53650.556164061934,true,3,Mini
Charlie,1971,Munich,16016,56735.052723246656,false,3,Bentley
David,1950,Mumbai,87772,57552.91160690535,false,0,Toyota
Bob,1951,Munich,89683,47546.76561206188,false,0,Ford
Charlie,1954,Shanghai,17008,54530.947152347595,true,1,BMW
Eva,1956,San Francisco,43828,59466.70287825672,true,3,Toyota
Eva,1979,London,50055,64729.629375923825,false,3,Toyota
Charlie,1952,Mumbai,87431,37868.45138496389,true,0,Toyota
Charlie,1954,San Francisco,32181,57800.68868057847,false,3,Ford
Alice,1986,San Francisco,17994,49647.41218849329,false,2,Bentley
Bob,1975,London,66203,42844.286567373776,false,2,Ford
Charlie,1969,Munich,64252,26980.03703901787,false,2,Ford
